answers,context,id,question,title
"{'answer_start': [203], 'text': ['specialist stores']}","Before the 1950s, the department store held an eminent place in both Canada and Australia, during both the Great Depression and World War II. Since then, they have suffered from strong competition from specialist stores. Most recently the competition has intensified with the advent of larger-scale superstores (Jones et al. 1994; Merrilees and Miller 1997). Competition was not the only reason for the department stores' weakening strength; the changing structure of cities also affected them. The compact and centralized 19th century city with its mass transit lines converging on the downtown was a perfect environment for department store growth. But as residents moved out of the downtown areas to the suburbs, the large, downtown department stores became inconvenient and lost business to the newer suburban shopping malls. In 2003, U.S. department store sales were surpassed by big-box store sales for the first time (though some stores may be classified as ""big box"" by physical layout and ""department store"" by merchandise).",57266257dd62a815002e8352,What is one type of competition department stores face? ,Department store
"{'answer_start': [300], 'text': ['superstores']}","Before the 1950s, the department store held an eminent place in both Canada and Australia, during both the Great Depression and World War II. Since then, they have suffered from strong competition from specialist stores. Most recently the competition has intensified with the advent of larger-scale superstores (Jones et al. 1994; Merrilees and Miller 1997). Competition was not the only reason for the department stores' weakening strength; the changing structure of cities also affected them. The compact and centralized 19th century city with its mass transit lines converging on the downtown was a perfect environment for department store growth. But as residents moved out of the downtown areas to the suburbs, the large, downtown department stores became inconvenient and lost business to the newer suburban shopping malls. In 2003, U.S. department store sales were surpassed by big-box store sales for the first time (though some stores may be classified as ""big box"" by physical layout and ""department store"" by merchandise).",57266257dd62a815002e8353,What types of stores have created even more competition? ,Department store
"{'answer_start': [659], 'text': ['residents moved out of the downtown areas to the suburbs']}","Before the 1950s, the department store held an eminent place in both Canada and Australia, during both the Great Depression and World War II. Since then, they have suffered from strong competition from specialist stores. Most recently the competition has intensified with the advent of larger-scale superstores (Jones et al. 1994; Merrilees and Miller 1997). Competition was not the only reason for the department stores' weakening strength; the changing structure of cities also affected them. The compact and centralized 19th century city with its mass transit lines converging on the downtown was a perfect environment for department store growth. But as residents moved out of the downtown areas to the suburbs, the large, downtown department stores became inconvenient and lost business to the newer suburban shopping malls. In 2003, U.S. department store sales were surpassed by big-box store sales for the first time (though some stores may be classified as ""big box"" by physical layout and ""department store"" by merchandise).",57266257dd62a815002e8354,What factor lead to a decrease in department store shoppers?,Department store
"{'answer_start': [834], 'text': ['2003']}","Before the 1950s, the department store held an eminent place in both Canada and Australia, during both the Great Depression and World War II. Since then, they have suffered from strong competition from specialist stores. Most recently the competition has intensified with the advent of larger-scale superstores (Jones et al. 1994; Merrilees and Miller 1997). Competition was not the only reason for the department stores' weakening strength; the changing structure of cities also affected them. The compact and centralized 19th century city with its mass transit lines converging on the downtown was a perfect environment for department store growth. But as residents moved out of the downtown areas to the suburbs, the large, downtown department stores became inconvenient and lost business to the newer suburban shopping malls. In 2003, U.S. department store sales were surpassed by big-box store sales for the first time (though some stores may be classified as ""big box"" by physical layout and ""department store"" by merchandise).",57266257dd62a815002e8355>,In what year were department store sales beaten by larger stores?,Department store
"{'answer_start': [11], 'text': ['opening policy in 1979']}","Since the opening policy in 1979, the Chinese department stores also develops swiftly along with the fast-growing economy. There are different department store groups dominating different regions. For example, INTIME department store has the biggest market presence in Zhejiang province, while Jinying department stores dominate Jiangsu Province. Besides, there are many other department store groups, such as Pacific, Parkson, WangfujingïŒNew WorldïŒetc., many of them are expanding quickly by listing in the financial market.",572662f85951b619008f7123,What began the influx of Chinese department stores?,Department store
"{'answer_start': [270], 'text': ['Zhejiang province']}","Since the opening policy in 1979, the Chinese department stores also develops swiftly along with the fast-growing economy. There are different department store groups dominating different regions. For example, INTIME department store has the biggest market presence in Zhejiang province, while Jinying department stores dominate Jiangsu Province. Besides, there are many other department store groups, such as Pacific, Parkson, WangfujingïŒNew WorldïŒetc., many of them are expanding quickly by listing in the financial market.",572662f85951b619008f7124,What area does INTIME department stores have the most influence in?,Department store
"{'answer_start': [295], 'text': ['Jinying']}","Since the opening policy in 1979, the Chinese department stores also develops swiftly along with the fast-growing economy. There are different department store groups dominating different regions. For example, INTIME department store has the biggest market presence in Zhejiang province, while Jinying department stores dominate Jiangsu Province. Besides, there are many other department store groups, such as Pacific, Parkson, WangfujingïŒNew WorldïŒetc., many of them are expanding quickly by listing in the financial market.",572662f85951b619008f7125,What department store has the most success in Jiangsu Province?,Department store
"{'answer_start': [491], 'text': ['by listing in the financial market.']}","Since the opening policy in 1979, the Chinese department stores also develops swiftly along with the fast-growing economy. There are different department store groups dominating different regions. For example, INTIME department store has the biggest market presence in Zhejiang province, while Jinying department stores dominate Jiangsu Province. Besides, there are many other department store groups, such as Pacific, Parkson, WangfujingïŒNew WorldïŒetc., many of them are expanding quickly by listing in the financial market.",572662f85951b619008f7126>,How are these foreign department stores expanding so quickly? ,Department store
"{'answer_start': [57], 'text': ['1850']}","The first department stores Lane Crawford was opened in 1850 by Scots Thomas Ash Lane and Ninian Crawford on Des Voeux Road, Hong Kong Island. At the beginning, the store mainly catered visiting ships' crews as well as British Navy staff and their families. In 1900, the first ethnic-Chinese owned Sincere Department Store was opened by Ma Ying Piu, who returned from Australia and inspired by David Jones. In 1907, another former Hong Kong expatriate in Australia, the Kwok's family, returned to Hong Kong and founded Wing On.",5726638ef1498d1400e8ddea,What year did Lane Crawford open? ,Department store
"{'answer_start': [65], 'text': ['Scots Thomas Ash Lane and Ninian Crawford']}","The first department stores Lane Crawford was opened in 1850 by Scots Thomas Ash Lane and Ninian Crawford on Des Voeux Road, Hong Kong Island. At the beginning, the store mainly catered visiting ships' crews as well as British Navy staff and their families. In 1900, the first ethnic-Chinese owned Sincere Department Store was opened by Ma Ying Piu, who returned from Australia and inspired by David Jones. In 1907, another former Hong Kong expatriate in Australia, the Kwok's family, returned to Hong Kong and founded Wing On.",5726638ef1498d1400e8ddeb,Who established Lane Crawford? ,Department store
"{'answer_start': [187], 'text': [""visiting ships' crews as well as British Navy staff and their families""]}","The first department stores Lane Crawford was opened in 1850 by Scots Thomas Ash Lane and Ninian Crawford on Des Voeux Road, Hong Kong Island. At the beginning, the store mainly catered visiting ships' crews as well as British Navy staff and their families. In 1900, the first ethnic-Chinese owned Sincere Department Store was opened by Ma Ying Piu, who returned from Australia and inspired by David Jones. In 1907, another former Hong Kong expatriate in Australia, the Kwok's family, returned to Hong Kong and founded Wing On.",5726638ef1498d1400e8ddec,What was the store's original target customer base?,Department store
"{'answer_start': [338], 'text': ['Ma Ying Piu']}","The first department stores Lane Crawford was opened in 1850 by Scots Thomas Ash Lane and Ninian Crawford on Des Voeux Road, Hong Kong Island. At the beginning, the store mainly catered visiting ships' crews as well as British Navy staff and their families. In 1900, the first ethnic-Chinese owned Sincere Department Store was opened by Ma Ying Piu, who returned from Australia and inspired by David Jones. In 1907, another former Hong Kong expatriate in Australia, the Kwok's family, returned to Hong Kong and founded Wing On.",5726638ef1498d1400e8dded>,Who opened the first Chinese-owned department store? ,Department store
"{'answer_start': [52], 'text': ['Magasin (1868), Illum (1891), Salling (1906).']}","In Denmark you find three department store chains: Magasin (1868), Illum (1891), Salling (1906). Magasin is by far the largest with 6 stores all over the country, with the flagship store being Magasin du Nord on Kongens Nytorv in Copenhagen. Illums only store on Amagertorv in Copenhagen has the appearance of a department store with 20% run by Magasin, but has individual shop owners making it a shopping centre. But in people's mind it remains a department store. Salling has two stores in Jutland with one of these being the reason for the closure of a magasin store due to the competition.",57266400f1498d1400e8de06,What are the 3 main department store companies in Denmark? ,Department store
"{'answer_start': [98], 'text': ['Magasin']}","In Denmark you find three department store chains: Magasin (1868), Illum (1891), Salling (1906). Magasin is by far the largest with 6 stores all over the country, with the flagship store being Magasin du Nord on Kongens Nytorv in Copenhagen. Illums only store on Amagertorv in Copenhagen has the appearance of a department store with 20% run by Magasin, but has individual shop owners making it a shopping centre. But in people's mind it remains a department store. Salling has two stores in Jutland with one of these being the reason for the closure of a magasin store due to the competition.",57266400f1498d1400e8de07,"Currently, what is the largest department store chain in Denmark? ",Department store
"{'answer_start': [213], 'text': ['Kongens Nytorv in Copenhagen']}","In Denmark you find three department store chains: Magasin (1868), Illum (1891), Salling (1906). Magasin is by far the largest with 6 stores all over the country, with the flagship store being Magasin du Nord on Kongens Nytorv in Copenhagen. Illums only store on Amagertorv in Copenhagen has the appearance of a department store with 20% run by Magasin, but has individual shop owners making it a shopping centre. But in people's mind it remains a department store. Salling has two stores in Jutland with one of these being the reason for the closure of a magasin store due to the competition.",57266400f1498d1400e8de08,Where is Magasin's \flagship\ store located? ,Department store
"{'answer_start': [479], 'text': ['two']}","In Denmark you find three department store chains: Magasin (1868), Illum (1891), Salling (1906). Magasin is by far the largest with 6 stores all over the country, with the flagship store being Magasin du Nord on Kongens Nytorv in Copenhagen. Illums only store on Amagertorv in Copenhagen has the appearance of a department store with 20% run by Magasin, but has individual shop owners making it a shopping centre. But in people's mind it remains a department store. Salling has two stores in Jutland with one of these being the reason for the closure of a magasin store due to the competition.",57266400f1498d1400e8de09>,How many stores does Salling have in Jutland? ,Department store
"{'answer_start': [46], 'text': ['Galeries Lafayette and Le Printemps']}","France's major upscale department stores are Galeries Lafayette and Le Printemps, which both have flagship stores on Boulevard Haussmann in Paris and branches around the country. The first department store in France, Le Bon MarchĂ© in Paris, was founded in 1852 and is now owned by the luxury goods conglomerate LVMH. La Samaritaine, another upscale department store also owned by LVMH, closed in 2005. Mid-range department stores chains also exist in France such as the BHV (Bazar de l'Hotel de Ville), part of the same group as Galeries Lafayette.",572664de5951b619008f7175,What are two main department stores in France?,Department store
"{'answer_start': [257], 'text': ['1852']}","France's major upscale department stores are Galeries Lafayette and Le Printemps, which both have flagship stores on Boulevard Haussmann in Paris and branches around the country. The first department store in France, Le Bon MarchĂ© in Paris, was founded in 1852 and is now owned by the luxury goods conglomerate LVMH. La Samaritaine, another upscale department store also owned by LVMH, closed in 2005. Mid-range department stores chains also exist in France such as the BHV (Bazar de l'Hotel de Ville), part of the same group as Galeries Lafayette.",572664de5951b619008f7176,What year was the first department store open in France? ,Department store
