answers,context,id,question,title
"{'answer_start': [45], 'text': ['Latin']}","The Portuguese language is derived from the Latin spoken by the romanized Pre-Roman peoples of the Iberian Peninsula around 2000 years agoâparticularly the Celts, Tartessians, Lusitanians and Iberians. In the 15th and 16th centuries, the language spread worldwide as Portugal established a colonial and commercial empire between 1415 and 1999. Portuguese is now spoken as a native language in five different continents, with Brazil accounting for the largest number of native Portuguese speakers of any country (200 million speakers in 2012).",57342084d058e614000b698c,From what language is Portuguese derived?,Portugal
"{'answer_start': [75], 'text': ['Pre-Roman peoples of the Iberian Peninsula']}","The Portuguese language is derived from the Latin spoken by the romanized Pre-Roman peoples of the Iberian Peninsula around 2000 years agoâparticularly the Celts, Tartessians, Lusitanians and Iberians. In the 15th and 16th centuries, the language spread worldwide as Portugal established a colonial and commercial empire between 1415 and 1999. Portuguese is now spoken as a native language in five different continents, with Brazil accounting for the largest number of native Portuguese speakers of any country (200 million speakers in 2012).",57342084d058e614000b698d,By what group of people is Portuguese derived?,Portugal
"{'answer_start': [330], 'text': ['1415 and 1999']}","The Portuguese language is derived from the Latin spoken by the romanized Pre-Roman peoples of the Iberian Peninsula around 2000 years agoâparticularly the Celts, Tartessians, Lusitanians and Iberians. In the 15th and 16th centuries, the language spread worldwide as Portugal established a colonial and commercial empire between 1415 and 1999. Portuguese is now spoken as a native language in five different continents, with Brazil accounting for the largest number of native Portuguese speakers of any country (200 million speakers in 2012).",57342084d058e614000b698e,Between what years did Portugal establish a colonial and commercial empire?,Portugal
"{'answer_start': [394], 'text': ['five']}","The Portuguese language is derived from the Latin spoken by the romanized Pre-Roman peoples of the Iberian Peninsula around 2000 years agoâparticularly the Celts, Tartessians, Lusitanians and Iberians. In the 15th and 16th centuries, the language spread worldwide as Portugal established a colonial and commercial empire between 1415 and 1999. Portuguese is now spoken as a native language in five different continents, with Brazil accounting for the largest number of native Portuguese speakers of any country (200 million speakers in 2012).",57342084d058e614000b698f,In how many continents is Portuguese spoken as a native language?,Portugal
"{'answer_start': [426], 'text': ['Brazil']}","The Portuguese language is derived from the Latin spoken by the romanized Pre-Roman peoples of the Iberian Peninsula around 2000 years agoâparticularly the Celts, Tartessians, Lusitanians and Iberians. In the 15th and 16th centuries, the language spread worldwide as Portugal established a colonial and commercial empire between 1415 and 1999. Portuguese is now spoken as a native language in five different continents, with Brazil accounting for the largest number of native Portuguese speakers of any country (200 million speakers in 2012).",57342084d058e614000b6990>,What country has the largest number of native Portuguese speakers?,Portugal
"{'answer_start': [34], 'text': ['99 percent']}","The total adult literacy rate is 99 percent. Portuguese primary school enrollments are close to 100 percent. According to the OECD's Programme for International Student Assessment (PISA) 2009, the average Portuguese 15-year-old student, when rated in terms of reading literacy, mathematics and science knowledge, is placed at the same level as those students from the United States, Sweden, Germany, Ireland, France, Denmark, United Kingdom, Hungary and Taipei, with 489 points (493 is the average). Over 35% of college-age citizens (20 years old) attend one of the country's higher education institutions (compared with 50% in the United States and 35% in the OECD countries). In addition to being a destination for international students, Portugal is also among the top places of origin for international students. All higher education students, both domestic and international, totaled 380,937 in 2005.",5734210b4776f419006618f3,What is the adult literacy rate in Portugal?,Portugal
"{'answer_start': [97], 'text': ['100 percent']}","The total adult literacy rate is 99 percent. Portuguese primary school enrollments are close to 100 percent. According to the OECD's Programme for International Student Assessment (PISA) 2009, the average Portuguese 15-year-old student, when rated in terms of reading literacy, mathematics and science knowledge, is placed at the same level as those students from the United States, Sweden, Germany, Ireland, France, Denmark, United Kingdom, Hungary and Taipei, with 489 points (493 is the average). Over 35% of college-age citizens (20 years old) attend one of the country's higher education institutions (compared with 50% in the United States and 35% in the OECD countries). In addition to being a destination for international students, Portugal is also among the top places of origin for international students. All higher education students, both domestic and international, totaled 380,937 in 2005.",5734210b4776f419006618f4,Portuguese primary school enrollment is close to what percent?,Portugal
"{'answer_start': [501], 'text': ['Over 35%']}","The total adult literacy rate is 99 percent. Portuguese primary school enrollments are close to 100 percent. According to the OECD's Programme for International Student Assessment (PISA) 2009, the average Portuguese 15-year-old student, when rated in terms of reading literacy, mathematics and science knowledge, is placed at the same level as those students from the United States, Sweden, Germany, Ireland, France, Denmark, United Kingdom, Hungary and Taipei, with 489 points (493 is the average). Over 35% of college-age citizens (20 years old) attend one of the country's higher education institutions (compared with 50% in the United States and 35% in the OECD countries). In addition to being a destination for international students, Portugal is also among the top places of origin for international students. All higher education students, both domestic and international, totaled 380,937 in 2005.",5734210b4776f419006618f5,What percentage of college-age citizens attend a higher education institution in Portugal?,Portugal
"{'answer_start': [622], 'text': ['50%']}","The total adult literacy rate is 99 percent. Portuguese primary school enrollments are close to 100 percent. According to the OECD's Programme for International Student Assessment (PISA) 2009, the average Portuguese 15-year-old student, when rated in terms of reading literacy, mathematics and science knowledge, is placed at the same level as those students from the United States, Sweden, Germany, Ireland, France, Denmark, United Kingdom, Hungary and Taipei, with 489 points (493 is the average). Over 35% of college-age citizens (20 years old) attend one of the country's higher education institutions (compared with 50% in the United States and 35% in the OECD countries). In addition to being a destination for international students, Portugal is also among the top places of origin for international students. All higher education students, both domestic and international, totaled 380,937 in 2005.",5734210b4776f419006618f6>,What percentage of college-age citizens attend a higher education institution in the United States?,Portugal
"{'answer_start': [44], 'text': ['1290']}","Portuguese universities have existed since 1290. The oldest Portuguese university was first established in Lisbon before moving to Coimbra. Historically, within the scope of the Portuguese Empire, the Portuguese founded the oldest engineering school of the Americas (the Real Academia de Artilharia, FortificaĂ§ĂŁo e Desenho of Rio de Janeiro) in 1792, as well as the oldest medical college in Asia (the Escola MĂ©dico-CirĂșrgica of Goa) in 1842. The largest university in Portugal is the University of Lisbon.",57342171d058e614000b69a0,Since when have Portuguese universities existed?,Portugal
