answers,context,id,question,title
"{'answer_start': [25], 'text': ['President Carlos Salinas de Gortari']}","The economic reforms of President Carlos Salinas de Gortari had a tremendous effect on the city, as a number of businesses, including banks and airlines, were privatized. He also signed the North American Free Trade Agreement (NAFTA). This led to decentralization and a shift in Mexico City's economic base, from manufacturing to services, as most factories moved away to either the State of Mexico, or more commonly to the northern border. By contrast, corporate office buildings set their base in the city.",57268c7fdd62a815002e8938,Who privatized the airlines of Mexico?,Mexico City
"{'answer_start': [25], 'text': ['President Carlos Salinas de Gortari']}","The economic reforms of President Carlos Salinas de Gortari had a tremendous effect on the city, as a number of businesses, including banks and airlines, were privatized. He also signed the North American Free Trade Agreement (NAFTA). This led to decentralization and a shift in Mexico City's economic base, from manufacturing to services, as most factories moved away to either the State of Mexico, or more commonly to the northern border. By contrast, corporate office buildings set their base in the city.",57268c7fdd62a815002e8939,Who signed NAFTA for Mexico?,Mexico City
"{'answer_start': [241], 'text': [""led to decentralization and a shift in Mexico City's economic base, from manufacturing to services""]}","The economic reforms of President Carlos Salinas de Gortari had a tremendous effect on the city, as a number of businesses, including banks and airlines, were privatized. He also signed the North American Free Trade Agreement (NAFTA). This led to decentralization and a shift in Mexico City's economic base, from manufacturing to services, as most factories moved away to either the State of Mexico, or more commonly to the northern border. By contrast, corporate office buildings set their base in the city.",57268c7fdd62a815002e893a,What did NAFTA do to the businesses in Mexico City?,Mexico City
"{'answer_start': [425], 'text': ['northern border']}","The economic reforms of President Carlos Salinas de Gortari had a tremendous effect on the city, as a number of businesses, including banks and airlines, were privatized. He also signed the North American Free Trade Agreement (NAFTA). This led to decentralization and a shift in Mexico City's economic base, from manufacturing to services, as most factories moved away to either the State of Mexico, or more commonly to the northern border. By contrast, corporate office buildings set their base in the city.",57268c7fdd62a815002e893b>,Where did the factories of Mexico City move to most commonly?,Mexico City
"{'answer_start': [483], 'text': ['54.78']}","Historically, and since pre-Hispanic times, the Valley of Anahuac has been one of the most densely populated areas in Mexico. When the Federal District was created in 1824, the urban area of Mexico City extended approximately to the area of today's CuauhtĂ©moc borough. At the beginning of the 20th century, the elites began migrating to the south and west and soon the small towns of Mixcoac and San Ăngel were incorporated by the growing conurbation. According to the 1921 census, 54.78% of the city's population was considered Mestizo (Indigenous mixed with European), 22.79% considered European, and 18.74% considered Indigenous. This was the last Mexican Census which asked people to self-identify themselves with an heritage other than Amerindian. However, the census had the particularity that, unlike racial/ethnic census in other countries, it was focused in the perception of cultural heritage rather than in a racial perception, leading to a good number of white people to identify with ""Mixed heritage"" due cultural influence. In 1921, Mexico City had less than one million inhabitants.",57268d0b708984140094c9c6,"in 1921, what percent of Mexico City's population Mestizo?",Mexico City
"{'answer_start': [1064], 'text': ['less than one million']}","Historically, and since pre-Hispanic times, the Valley of Anahuac has been one of the most densely populated areas in Mexico. When the Federal District was created in 1824, the urban area of Mexico City extended approximately to the area of today's CuauhtĂ©moc borough. At the beginning of the 20th century, the elites began migrating to the south and west and soon the small towns of Mixcoac and San Ăngel were incorporated by the growing conurbation. According to the 1921 census, 54.78% of the city's population was considered Mestizo (Indigenous mixed with European), 22.79% considered European, and 18.74% considered Indigenous. This was the last Mexican Census which asked people to self-identify themselves with an heritage other than Amerindian. However, the census had the particularity that, unlike racial/ethnic census in other countries, it was focused in the perception of cultural heritage rather than in a racial perception, leading to a good number of white people to identify with ""Mixed heritage"" due cultural influence. In 1921, Mexico City had less than one million inhabitants.",57268d0b708984140094c9c7,How many people lived in Mexico City in 1921?,Mexico City
"{'answer_start': [604], 'text': ['18.74']}","Historically, and since pre-Hispanic times, the Valley of Anahuac has been one of the most densely populated areas in Mexico. When the Federal District was created in 1824, the urban area of Mexico City extended approximately to the area of today's CuauhtĂ©moc borough. At the beginning of the 20th century, the elites began migrating to the south and west and soon the small towns of Mixcoac and San Ăngel were incorporated by the growing conurbation. According to the 1921 census, 54.78% of the city's population was considered Mestizo (Indigenous mixed with European), 22.79% considered European, and 18.74% considered Indigenous. This was the last Mexican Census which asked people to self-identify themselves with an heritage other than Amerindian. However, the census had the particularity that, unlike racial/ethnic census in other countries, it was focused in the perception of cultural heritage rather than in a racial perception, leading to a good number of white people to identify with ""Mixed heritage"" due cultural influence. In 1921, Mexico City had less than one million inhabitants.",57268d0b708984140094c9c8>,What percentage of Mexico City's population was indigenous in 1921?,Mexico City
"{'answer_start': [147], 'text': ['8.7 million']}","Up to the 1990s, the Federal District was the most populous federal entity in Mexico, but since then its population has remained stable at around 8.7 million. The growth of the city has extended beyond the limits of the Federal District to 59 municipalities of the state of Mexico and 1 in the state of Hidalgo. With a population of approximately 19.8 million inhabitants (2008), it is one of the most populous conurbations in the world. Nonetheless, the annual rate of growth of the Metropolitan Area of Mexico City is much lower than that of other large urban agglomerations in Mexico, a phenomenon most likely attributable to the environmental policy of decentralization. The net migration rate of the Federal District from 1995 to 2000 was negative.",57268d79dd62a815002e8956,How many people live in the Federal District? ,Mexico City
"{'answer_start': [348], 'text': ['19.8 million']}","Up to the 1990s, the Federal District was the most populous federal entity in Mexico, but since then its population has remained stable at around 8.7 million. The growth of the city has extended beyond the limits of the Federal District to 59 municipalities of the state of Mexico and 1 in the state of Hidalgo. With a population of approximately 19.8 million inhabitants (2008), it is one of the most populous conurbations in the world. Nonetheless, the annual rate of growth of the Metropolitan Area of Mexico City is much lower than that of other large urban agglomerations in Mexico, a phenomenon most likely attributable to the environmental policy of decentralization. The net migration rate of the Federal District from 1995 to 2000 was negative.",57268d79dd62a815002e8957,What is the overall population of Mexico City in 2008?,Mexico City
"{'answer_start': [745], 'text': ['negative']}","Up to the 1990s, the Federal District was the most populous federal entity in Mexico, but since then its population has remained stable at around 8.7 million. The growth of the city has extended beyond the limits of the Federal District to 59 municipalities of the state of Mexico and 1 in the state of Hidalgo. With a population of approximately 19.8 million inhabitants (2008), it is one of the most populous conurbations in the world. Nonetheless, the annual rate of growth of the Metropolitan Area of Mexico City is much lower than that of other large urban agglomerations in Mexico, a phenomenon most likely attributable to the environmental policy of decentralization. The net migration rate of the Federal District from 1995 to 2000 was negative.",57268d79dd62a815002e8958,What was the migration rate of Mexico City from 95-2000?,Mexico City
